Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Rectangular 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.358519 	0.0861327 	0.00947239 	0.00587389
Rectangular 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.355467 	0.0859492 	0.00950354 	0.00589126
Rectangular 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.353019 	0.0859491 	0.00958518 	0.00594023
Rectangular 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.35125 	0.0861375 	0.00970573 	0.00601208
Rectangular 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.350009 	0.0864715 	0.00985757 	0.00610235
Rectangular 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.34892 	0.0868267 	0.0100085 	0.00619096
Rectangular 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.347917 	0.0871905 	0.0101607 	0.00627992
Rectangular 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.346733 	0.0874667 	0.0102826 	0.0063482
Rectangular 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.345578 	0.0877358 	0.0104022 	0.00641424
Rectangular 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.344292 	0.0879444 	0.0105058 	0.00646959
Rectangular 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.343017 	0.0881408 	0.0106056 	0.00652161
Rectangular 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.341652 	0.0882916 	0.0106932 	0.0065652
