Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		645 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0674767 	0.00242433 	0.000314817
Blazed 	1.2(0:0:0) 		176 		 0 		650 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0679482 	0.00245608 	0.000325537
Blazed 	1.2(0:0:0) 		176 		 0 		655 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.068384 	0.00248284 	0.000337581
Blazed 	1.2(0:0:0) 		176 		 0 		660 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0687991 	0.00250092 	0.000350202
Blazed 	1.2(0:0:0) 		176 		 0 		665 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0691368 	0.00250683 	0.000362491
Blazed 	1.2(0:0:0) 		176 		 0 		670 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0694446 	0.0025049 	0.000373851
Blazed 	1.2(0:0:0) 		176 		 0 		675 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0695719 	0.00249556 	0.000382934
Blazed 	1.2(0:0:0) 		176 		 0 		680 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696699 	0.00248101 	0.000389499
Blazed 	1.2(0:0:0) 		176 		 0 		685 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698061 	0.00246878 	0.000393619
Blazed 	1.2(0:0:0) 		176 		 0 		690 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699155 	0.00245526 	0.000394802
Blazed 	1.2(0:0:0) 		176 		 0 		695 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0700112 	0.0024473 	0.000393486
Blazed 	1.2(0:0:0) 		176 		 0 		700 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0700826 	0.00244307 	0.000389976
Blazed 	1.2(0:0:0) 		176 		 0 		705 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0701021 	0.00244382 	0.000384853
Blazed 	1.2(0:0:0) 		176 		 0 		710 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0700711 	0.00245044 	0.000378978
Blazed 	1.2(0:0:0) 		176 		 0 		715 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0700146 	0.00246245 	0.000373285
Blazed 	1.2(0:0:0) 		176 		 0 		720 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699403 	0.00248065 	0.000368716
Blazed 	1.2(0:0:0) 		176 		 0 		725 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698406 	0.0025035 	0.000365978
Blazed 	1.2(0:0:0) 		176 		 0 		730 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696684 	0.00253332 	0.000365832
Blazed 	1.2(0:0:0) 		176 		 0 		735 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0694658 	0.00256596 	0.00036853
Blazed 	1.2(0:0:0) 		176 		 0 		740 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0692039 	0.00260155 	0.00037419
Blazed 	1.2(0:0:0) 		176 		 0 		745 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0688881 	0.00263789 	0.000382387
Blazed 	1.2(0:0:0) 		176 		 0 		750 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0685548 	0.00267338 	0.000392454
Blazed 	1.2(0:0:0) 		176 		 0 		755 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0682573 	0.00270975 	0.000403661
