Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Sinusoidal 	1.2(0:0:0) 		176 		 0 		655 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.243644 	0.101791 	0.0654032 	0.0331523
Sinusoidal 	1.2(0:0:0) 		176 		 0 		660 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.241651 	0.101507 	0.0655946 	0.0334809
Sinusoidal 	1.2(0:0:0) 		176 		 0 		665 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.239613 	0.101154 	0.0657237 	0.0337757
Sinusoidal 	1.2(0:0:0) 		176 		 0 		670 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.23761 	0.100789 	0.0658302 	0.0340562
Sinusoidal 	1.2(0:0:0) 		176 		 0 		675 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.23552 	0.100331 	0.0658638 	0.0342997
Sinusoidal 	1.2(0:0:0) 		176 		 0 		680 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.233482 	0.0998706 	0.0658799 	0.0345302
Sinusoidal 	1.2(0:0:0) 		176 		 0 		685 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.231393 	0.0993516 	0.0658547 	0.0347425
Sinusoidal 	1.2(0:0:0) 		176 		 0 		690 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.229349 	0.0988266 	0.0658097 	0.0349405
Sinusoidal 	1.2(0:0:0) 		176 		 0 		695 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.227279 	0.0982562 	0.0657281 	0.0351202
Sinusoidal 	1.2(0:0:0) 		176 		 0 		700 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.225233 	0.0976675 	0.065621 	0.0352837
Sinusoidal 	1.2(0:0:0) 		176 		 0 		705 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.223163 	0.0970366 	0.0654817 	0.0354315
Sinusoidal 	1.2(0:0:0) 		176 		 0 		710 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.221072 	0.0963652 	0.0653104 	0.0355633
Sinusoidal 	1.2(0:0:0) 		176 		 0 		715 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.219016 	0.0956927 	0.0651323 	0.0356909
Sinusoidal 	1.2(0:0:0) 		176 		 0 		720 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.216976 	0.0950311 	0.0649759 	0.0358382
Sinusoidal 	1.2(0:0:0) 		176 		 0 		725 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.214977 	0.0943628 	0.0647999 	0.0359706
Sinusoidal 	1.2(0:0:0) 		176 		 0 		730 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.213032 	0.0937313 	0.0646596 	0.0361284
Sinusoidal 	1.2(0:0:0) 		176 		 0 		735 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.211128 	0.0930969 	0.0645046 	0.0362748
Sinusoidal 	1.2(0:0:0) 		176 		 0 		740 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.209267 	0.0924784 	0.0643605 	0.036429
Sinusoidal 	1.2(0:0:0) 		176 		 0 		745 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.207448 	0.0918696 	0.0642188 	0.0365848
Sinusoidal 	1.2(0:0:0) 		176 		 0 		750 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.205672 	0.091267 	0.0640733 	0.0367367
Sinusoidal 	1.2(0:0:0) 		176 		 0 		755 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.203948 	0.0906987 	0.0639588 	0.0369108
Sinusoidal 	1.2(0:0:0) 		176 		 0 		760 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.202263 	0.0901276 	0.0638292 	0.0370728
Sinusoidal 	1.2(0:0:0) 		176 		 0 		765 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.200675 	0.0896294 	0.063759 	0.0372732
Sinusoidal 	1.2(0:0:0) 		176 		 0 		770 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.199143 	0.0891505 	0.0636956 	0.0374765
Sinusoidal 	1.2(0:0:0) 		176 		 0 		775 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.1977 	0.0887112 	0.0636488 	0.0376859
Sinusoidal 	1.2(0:0:0) 		176 		 0 		780 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.196399 	0.0883553 	0.0636505 	0.0379196
Sinusoidal 	1.2(0:0:0) 		176 		 0 		785 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.195144 	0.088004 	0.0636433 	0.038145
