Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		765 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0677126 	0.00267713 	0.000363999
Blazed 	1.2(0:0:0) 		176 		 0 		770 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0671008 	0.00278168 	0.000389822
Blazed 	1.2(0:0:0) 		176 		 0 		775 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0664259 	0.00288928 	0.0004187
Blazed 	1.2(0:0:0) 		176 		 0 		780 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0656983 	0.00299396 	0.000448279
Blazed 	1.2(0:0:0) 		176 		 0 		785 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0649084 	0.00308889 	0.00047605
Blazed 	1.2(0:0:0) 		176 		 0 		790 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0641584 	0.00317194 	0.000499818
Blazed 	1.2(0:0:0) 		176 		 0 		795 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0633771 	0.00323639 	0.000517307
Blazed 	1.2(0:0:0) 		176 		 0 		800 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0625588 	0.00327979 	0.000526585
Blazed 	1.2(0:0:0) 		176 		 0 		805 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0617272 	0.00330356 	0.00052646
Blazed 	1.2(0:0:0) 		176 		 0 		810 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0608482 	0.00330432 	0.000516604
Blazed 	1.2(0:0:0) 		176 		 0 		815 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0598062 	0.00328262 	0.000496154
Blazed 	1.2(0:0:0) 		176 		 0 		820 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0586588 	0.0032438 	0.000466795
Blazed 	1.2(0:0:0) 		176 		 0 		825 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0574581 	0.00319504 	0.000430958
Blazed 	1.2(0:0:0) 		176 		 0 		830 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.056318 	0.00314941 	0.000392317
Blazed 	1.2(0:0:0) 		176 		 0 		835 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0551098 	0.00310753 	0.000352205
Blazed 	1.2(0:0:0) 		176 		 0 		840 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0538149 	0.00307854 	0.000313455
