Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		675 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0692853 	0.00257885 	0.000379834
Blazed 	1.2(0:0:0) 		176 		 0 		680 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0692906 	0.00261909 	0.000402986
Blazed 	1.2(0:0:0) 		176 		 0 		685 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0693636 	0.00265093 	0.000423738
Blazed 	1.2(0:0:0) 		176 		 0 		690 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0694428 	0.00266723 	0.000440288
Blazed 	1.2(0:0:0) 		176 		 0 		695 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0695458 	0.00267055 	0.000451127
Blazed 	1.2(0:0:0) 		176 		 0 		700 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696605 	0.0026579 	0.000455334
Blazed 	1.2(0:0:0) 		176 		 0 		705 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0697569 	0.00263007 	0.000452316
Blazed 	1.2(0:0:0) 		176 		 0 		710 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698305 	0.00258989 	0.000442347
Blazed 	1.2(0:0:0) 		176 		 0 		715 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698982 	0.00254057 	0.000426474
Blazed 	1.2(0:0:0) 		176 		 0 		720 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699584 	0.00248808 	0.000406292
Blazed 	1.2(0:0:0) 		176 		 0 		725 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699946 	0.00243619 	0.000383487
Blazed 	1.2(0:0:0) 		176 		 0 		730 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699476 	0.00239454 	0.000360482
Blazed 	1.2(0:0:0) 		176 		 0 		735 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698506 	0.00236554 	0.000339667
Blazed 	1.2(0:0:0) 		176 		 0 		740 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696644 	0.00235627 	0.00032351
Blazed 	1.2(0:0:0) 		176 		 0 		745 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0693888 	0.00236954 	0.000313965
Blazed 	1.2(0:0:0) 		176 		 0 		750 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.069059 	0.00240641 	0.000312403
Blazed 	1.2(0:0:0) 		176 		 0 		755 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0687303 	0.00246868 	0.000319606
Blazed 	1.2(0:0:0) 		176 		 0 		760 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0683257 	0.00255121 	0.000335111
Blazed 	1.2(0:0:0) 		176 		 0 		765 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0677985 	0.00265297 	0.000358189
Blazed 	1.2(0:0:0) 		176 		 0 		770 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0671818 	0.00276677 	0.00038711
Blazed 	1.2(0:0:0) 		176 		 0 		775 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0664956 	0.00288613 	0.00041971
Blazed 	1.2(0:0:0) 		176 		 0 		780 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0657505 	0.00300452 	0.000453406
Blazed 	1.2(0:0:0) 		176 		 0 		785 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0649378 	0.00311378 	0.000485251
Blazed 	1.2(0:0:0) 		176 		 0 		790 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0641609 	0.0032101 	0.000512537
Blazed 	1.2(0:0:0) 		176 		 0 		795 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.063351 	0.00328552 	0.000532675
Blazed 	1.2(0:0:0) 		176 		 0 		800 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0625049 	0.00333628 	0.000543437
Blazed 	1.2(0:0:0) 		176 		 0 		805 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0616491 	0.00336277 	0.000543443
Blazed 	1.2(0:0:0) 		176 		 0 		810 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0607502 	0.00336154 	0.000532467
Blazed 	1.2(0:0:0) 		176 		 0 		815 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0596948 	0.00333261 	0.000509644
Blazed 	1.2(0:0:0) 		176 		 0 		820 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0585414 	0.00328175 	0.000476907
Blazed 	1.2(0:0:0) 		176 		 0 		825 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0573426 	0.00321704 	0.000437017
Blazed 	1.2(0:0:0) 		176 		 0 		830 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0562122 	0.00315312 	0.000394089
Blazed 	1.2(0:0:0) 		176 		 0 		835 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0550206 	0.00309159 	0.00034974
Blazed 	1.2(0:0:0) 		176 		 0 		840 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0537488 	0.00304326 	0.000307176
Blazed 	1.2(0:0:0) 		176 		 0 		845 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0523927 	0.00301814 	0.000269631
Blazed 	1.2(0:0:0) 		176 		 0 		850 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0509767 	0.00302133 	0.000239607
Blazed 	1.2(0:0:0) 		176 		 0 		855 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0496051 	0.00306266 	0.00021962
Blazed 	1.2(0:0:0) 		176 		 0 		860 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0482283 	0.00314387 	0.000210155
Blazed 	1.2(0:0:0) 		176 		 0 		865 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0468119 	0.00326678 	0.000211269
